"Compounds ID","Score3","Name","Formula"
3386,8.41233547629709,"","C13 H10 Cl3 O4 P S2"
5812,5.62156408213043,"","C8 H3 Cl N2 O13 S2"
2751,1.54772900635695,"Gallicynoic acid H","C16 H28 O4"
535,3.95789487282093,"Pentalinonside","C28 H42 O7"
945,3.26730895543807,"6-Bromo-5E,9Z,13Z,24Z-heptacosatetraenoic acid","C26 H43 Br O2"
525,5.79527843444883,"LMST01031185","C28 H42 O5"
1926,5.45778128815167,"4-keto pentadecanoic acid","C15 H28 O3"
3077,6.65082295109441,"","C13 H20 O2"
5020,4.9810913254857,"","C2 H5 Cl N2 O10 S"
5391,4.9810913254857,"","C4 H3 Cl2 N4 O7 P"
4745,13.1984593920075,"","C14 H23 O4 P"
1959,3.87648111975378,"9-phenyl nonanoic acid","C15 H22 O2"
2514,3.95339598555535,"Mycinonic acid III","C13 H20 O4"
2342,4.32660465090252,"Cladosporester A","C13 H24 O4"
3202,3.88620644386385,"","C10 H12 N2 O5"
4525,2.95546296274424,"Undecanedioic acid","C11 H20 O4"
2601,6.92642345295705,"PG 2:0_17:0","C25 H49 O10 P"
544,3.49529910386593,"","C28 H40 O6"
2412,2.19014740977335,"Gallicynoic acid H","C16 H28 O4"
3495,5.8887904624245,"Gallicynoic acid H","C16 H28 O4"
2,2.17376013017184,"ST 24:1;O5","C24 H40 O5"
121,4.0015185640425,"PI(22:0/12:0)","C43 H83 O13 P"
194,3.86791560644177,"","C16 H10 O2"
204,5.38197050358884,"threo-9,10-Dihydroxystearic acid","C18 H36 O4"
914,2.86586022830773,"","C8 H16 O S3"
1112,3.04267090886049,"9,10-epoxy-11,13-docosadiynoic acid","C22 H34 O3"
3063,1.67298717733698,"Gallicynoic acid H","C16 H28 O4"
1593,6.05127492490313,"","C21 H35 N6 O2 P"
1701,3.59217805736497,"Ambrettolic acid","C16 H30 O3"
4419,5.0410163350918,"","C20 H46 N2 O6 P2"
3056,5.26641347608179,"PI(P-16:0/0:0)","C25 H49 O11 P"
985,6.07855679562673,"","C26 H39 Cl O5"
2674,5.88118544134624,"","C20 H42 N8 O8 S"
3294,5.21232900884066,"","C23 H48 N4 O5 P2 S"
3326,8.67127394929352,"","C25 H47 O11 P"
3788,11.8585328205441,"","C11 H16 N4 O S"
89,4.60287449934399,"","C44 H79 N4 O7 P"
248,3.40214060564556,"Scillarenin","C24 H32 O4"
615,2.31045493853854,"","C24 H36 N6 O4"
5634,4.4812089209516,"","C6 H10 Cl3 O4 P"
4417,4.83426881717882,"","C20 H28 Cl N4 O2 P"
4993,4.22567696924742,"","C13 H22 O3"
5345,5.30422179568865,"","C13 H14 N4 O"
2852,3.60564899141329,"2-methyl-tridecanedioic acid","C14 H26 O4"
